1.000,0.131,0.140,0.290,0.105,0.132,0.273,0.090,0.209,0.154,0.204,0.005,0.209,0.289,0.115,0.225,0.239,0.271,0.127,0.534,0.492,0.419,0.587,0.137,0.137,0.023,0.237,NaN,0.132,0.036,0.239
0.131,1.000,0.387,0.174,0.003,0.390,0.182,0.109,0.542,0.382,0.027,0.821,0.866,0.621,0.536,0.831,0.895,0.508,0.533,0.167,0.251,0.046,0.106,0.028,0.028,0.020,0.094,NaN,0.194,0.381,0.232
0.140,0.387,1.000,0.919,0.296,0.999,0.939,0.136,0.108,0.238,0.279,0.136,0.068,0.307,0.099,0.098,0.069,0.307,0.106,0.209,0.252,0.127,0.164,0.174,0.174,0.403,0.109,NaN,0.407,0.079,0.495
0.290,0.174,0.919,1.000,0.336,0.915,0.978,0.149,0.285,0.358,0.206,0.025,0.275,0.504,0.191,0.301,0.148,0.490,0.196,0.338,0.450,0.228,0.235,0.162,0.162,0.372,0.025,NaN,0.538,0.151,0.539
0.105,0.003,0.296,0.336,1.000,0.302,0.318,0.583,0.059,0.149,0.342,0.392,0.163,0.203,0.141,0.200,0.042,0.231,0.147,0.013,0.122,0.001,0.017,0.177,0.177,0.566,0.057,NaN,0.316,0.224,0.141
0.132,0.390,0.999,0.915,0.302,1.000,0.938,0.144,0.109,0.240,0.280,0.128,0.067,0.300,0.099,0.096,0.071,0.294,0.103,0.200,0.236,0.115,0.152,0.174,0.174,0.420,0.113,NaN,0.409,0.087,0.481
0.273,0.182,0.939,0.978,0.318,0.938,1.000,0.136,0.239,0.353,0.241,0.003,0.279,0.495,0.161,0.305,0.150,0.486,0.165,0.311,0.431,0.189,0.252,0.107,0.107,0.360,0.047,NaN,0.523,0.178,0.516
0.090,0.109,0.136,0.149,0.583,0.144,0.136,1.000,0.066,0.108,0.125,0.187,0.058,0.057,0.146,0.022,0.164,0.074,0.147,0.165,0.063,0.085,0.035,0.081,0.081,0.384,0.049,NaN,0.158,0.153,0.168
0.209,0.542,0.108,0.285,0.059,0.109,0.239,0.066,1.000,0.414,0.106,0.610,0.657,0.538,0.554,0.607,0.657,0.435,0.551,0.343,0.173,0.119,0.130,0.474,0.474,0.382,0.198,NaN,0.408,0.305,0.170
0.154,0.382,0.238,0.358,0.149,0.240,0.353,0.108,0.414,1.000,0.090,0.487,0.522,0.599,0.436,0.539,0.514,0.455,0.418,0.127,0.246,0.153,0.227,0.164,0.164,0.486,0.028,NaN,0.338,0.513,0.192
0.204,0.027,0.279,0.206,0.342,0.280,0.241,0.125,0.106,0.090,1.000,0.119,0.065,0.055,0.094,0.071,0.043,0.069,0.095,0.027,0.118,0.223,0.069,0.397,0.397,0.185,0.139,NaN,0.363,0.264,0.041
0.005,0.821,0.136,0.025,0.392,0.128,0.003,0.187,0.610,0.487,0.119,1.000,0.801,0.549,0.568,0.781,0.738,0.404,0.554,0.024,0.012,0.089,0.099,0.025,0.025,0.434,0.013,NaN,0.375,0.408,0.271
0.209,0.866,0.068,0.275,0.163,0.067,0.279,0.058,0.657,0.522,0.065,0.801,1.000,0.837,0.642,0.981,0.954,0.712,0.639,0.291,0.338,0.088,0.161,0.067,0.067,0.186,0.070,NaN,0.358,0.526,0.045
0.289,0.621,0.307,0.504,0.203,0.300,0.495,0.057,0.538,0.599,0.055,0.549,0.837,1.000,0.519,0.838,0.771,0.875,0.524,0.358,0.597,0.382,0.410,0.074,0.075,0.237,0.086,NaN,0.347,0.576,0.459
0.115,0.536,0.099,0.191,0.141,0.099,0.161,0.146,0.554,0.436,0.094,0.568,0.642,0.519,1.000,0.615,0.616,0.392,0.975,0.104,0.022,0.154,0.074,0.318,0.318,0.315,0.042,NaN,0.265,0.496,0.151
0.225,0.831,0.098,0.301,0.200,0.096,0.305,0.022,0.607,0.539,0.071,0.781,0.981,0.838,0.615,1.000,0.938,0.718,0.612,0.262,0.345,0.105,0.178,0.059,0.059,0.196,0.071,NaN,0.361,0.541,0.006
0.239,0.895,0.069,0.148,0.042,0.071,0.150,0.164,0.657,0.514,0.043,0.738,0.954,0.771,0.616,0.938,1.000,0.657,0.619,0.281,0.362,0.065,0.148,0.125,0.125,0.080,0.201,NaN,0.307,0.483,0.087
0.271,0.508,0.307,0.490,0.231,0.294,0.486,0.074,0.435,0.455,0.069,0.404,0.712,0.875,0.392,0.718,0.657,1.000,0.425,0.356,0.584,0.352,0.389,0.050,0.050,0.111,0.152,NaN,0.282,0.462,0.475
0.127,0.533,0.106,0.196,0.147,0.103,0.165,0.147,0.551,0.418,0.095,0.554,0.639,0.524,0.975,0.612,0.619,0.425,1.000,0.108,0.040,0.150,0.064,0.308,0.308,0.291,0.094,NaN,0.262,0.477,0.126
0.534,0.167,0.209,0.338,0.013,0.200,0.311,0.165,0.343,0.127,0.027,0.024,0.291,0.358,0.104,0.262,0.281,0.356,0.108,1.000,0.425,0.279,0.351,0.250,0.250,0.002,0.112,NaN,0.080,0.055,0.140
0.492,0.251,0.252,0.450,0.122,0.236,0.431,0.063,0.173,0.246,0.118,0.012,0.338,0.597,0.022,0.345,0.362,0.584,0.040,0.425,1.000,0.580,0.690,0.061,0.061,0.308,0.104,NaN,0.351,0.005,0.630
0.419,0.046,0.127,0.228,0.001,0.115,0.189,0.085,0.119,0.153,0.223,0.089,0.088,0.382,0.154,0.105,0.065,0.352,0.150,0.279,0.580,1.000,0.822,0.032,0.032,0.115,0.016,NaN,0.175,0.002,0.585
0.587,0.106,0.164,0.235,0.017,0.152,0.252,0.035,0.130,0.227,0.069,0.099,0.161,0.410,0.074,0.178,0.148,0.389,0.064,0.351,0.690,0.822,1.000,0.118,0.118,0.163,0.005,NaN,0.024,0.096,0.500
0.137,0.028,0.174,0.162,0.177,0.174,0.107,0.081,0.474,0.164,0.397,0.025,0.067,0.074,0.318,0.059,0.125,0.050,0.308,0.250,0.061,0.032,0.118,1.000,1.000,0.368,0.132,NaN,0.027,0.051,0.027
0.137,0.028,0.174,0.162,0.177,0.174,0.107,0.081,0.474,0.164,0.397,0.025,0.067,0.075,0.318,0.059,0.125,0.050,0.308,0.250,0.061,0.032,0.118,1.000,1.000,0.368,0.132,NaN,0.027,0.051,0.027
0.023,0.020,0.403,0.372,0.566,0.420,0.360,0.384,0.382,0.486,0.185,0.434,0.186,0.237,0.315,0.196,0.080,0.111,0.291,0.002,0.308,0.115,0.163,0.368,0.368,1.000,0.019,NaN,0.305,0.400,0.033
0.237,0.094,0.109,0.025,0.057,0.113,0.047,0.049,0.198,0.028,0.139,0.013,0.070,0.086,0.042,0.071,0.201,0.152,0.094,0.112,0.104,0.016,0.005,0.132,0.132,0.019,1.000,NaN,0.024,0.007,0.069
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.132,0.194,0.407,0.538,0.316,0.409,0.523,0.158,0.408,0.338,0.363,0.375,0.358,0.347,0.265,0.361,0.307,0.282,0.262,0.080,0.351,0.175,0.024,0.027,0.027,0.305,0.024,NaN,1.000,0.122,0.118
0.036,0.381,0.079,0.151,0.224,0.087,0.178,0.153,0.305,0.513,0.264,0.408,0.526,0.576,0.496,0.541,0.483,0.462,0.477,0.055,0.005,0.002,0.096,0.051,0.051,0.400,0.007,NaN,0.122,1.000,0.004
0.239,0.232,0.495,0.539,0.141,0.481,0.516,0.168,0.170,0.192,0.041,0.271,0.045,0.459,0.151,0.006,0.087,0.475,0.126,0.140,0.630,0.585,0.500,0.027,0.027,0.033,0.069,NaN,0.118,0.004,1.000
